Time,200-A-Real,200-B-Real,200-C-Real,200-A-Reactive,200-B-Reactive,200-C-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
Time,Refrigerator Real,Microwave-Real,Phone charger Real,Refrigerator Reactive,Microwave-Reactive,Phone charger Reactive,Dishwasher-Real,Disposal-Real,Laptop Charging-Real,Dishwasher-Reactive,Disposal-Reactive,Laptop Charging -Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 15:32:51.159288,88.72355652,580.6772461,3.079668999,0,1604.275391,-0.840147674,-7.715912819,117.4979477,43.49170685,-59.45749664,40.90332794,-16.35215187,"
",,,,,
 15:32:52.242857,88.66054535,580.0083008,2.964188099,0,1605.227783,-0.897007823,-11.77862072,114.6095734,44.92476654,-61.07212067,39.6614418,-16.38589096,"
",,,,,
 15:32:53.325976,88.91261292,580.5935669,3.0492239,0,1603.280762,-0.856621265,-7.812900543,116.1485443,43.51392365,-59.28293991,40.1807785,-16.29591751,"
",,,,,
 15:32:54.409214,88.82859039,581.4924316,2.938467026,0,1604.042725,-0.911355674,-11.41222286,118.1447601,44.95809174,-60.59209442,41.00493622,-16.32965851,"
",,,,,
 15:32:55.493442,88.80758667,582.5167236,3.04659915,0,1601.862915,-0.899664879,-11.40144634,113.2044067,45.02474976,-60.4175415,38.78083038,-16.04850006,"
",,,,,
 15:32:56.576096,88.78658295,584.272644,3.068645954,0,1599.937256,-0.838553429,-7.338738442,115.468277,43.16954422,-59.02111053,39.684021,-16.32965851,"
",,,,,
 15:32:57.651491,88.7445755,583.9801025,2.967862368,0,1601.270264,-0.895944953,-10.9057312,115.468277,44.76924133,-60.50481415,39.81949615,-16.14971542,"
",,,,,
 15:32:58.738674,88.76557922,583.2484131,3.074944735,0,1599.217529,-0.844930351,-7.306408882,114.3753662,43.12510681,-59.49022293,39.27758026,-16.46461487,"
",,,,,
 15:32:59.811324,88.76557922,582.3494873,2.983609676,0,1600.889404,-0.893287957,-10.66864967,113.0594254,44.81367874,-60.52664185,38.80340576,-16.37464333,"
",,,,,
 15:33:0.896327,88.76558685,581.2415771,3.064971209,0,1598.963623,-0.858746827,-6.929234505,112.8698502,43.18065643,-59.30475998,38.50986862,-16.61081696,"
",,,,,
 15:33:1.992874,88.74456787,580.9489136,2.958413601,0,1600.106445,-0.918795407,-10.69020367,109.8811035,45.10251236,-60.49390793,37.27927017,-16.1722126,"
",,,,,
 15:33:3.70091,88.80758667,581.4088135,3.052373171,0,1597.27063,-0.8661865,-7.123209953,107.3830338,43.34729004,-59.21747971,36.07125092,-16.52084732,"
",,,,,
 15:33:4.156392,88.72356415,582.1405029,2.941091538,0,1597.926636,-0.923577964,-10.74408531,105.4760361,45.25803375,-60.22117233,35.45030594,-16.02600861,"
",,,,,
 15:33:5.243505,88.78658295,583.5618896,3.036625862,0,1595.048584,-0.873094738,-7.381843567,105.3087616,43.50281525,-58.82472992,35.22451019,-16.28467369,"
",,,,,
 15:33:6.328010,88.82859039,585.0043335,2.953164578,0,1595.048584,-0.907635868,-10.74408531,104.7623062,45.39134598,-59.79569244,35.1680603,-15.85731316,"
",,,,,
 15:33:7.410765,89.0806427,586.1541138,3.048698902,0,1591.598999,-0.85502702,-6.98311615,104.706543,43.61390686,-58.36652756,35.01000214,-16.28467369,"
",,,,,
 15:33:8.493837,88.99662781,586.0914307,2.967862368,0,1590.202271,-0.831113815,-7.036998749,104.4165878,43.43615723,-58.55199432,34.75033188,-16.5545845,"
",,,,,
 15:33:9.577996,89.68978119,584.9835205,2.97941041,0,1591.387451,-0.887442589,-10.69020271,104.1154938,45.24692535,-60.1775322,34.82936096,-16.21719742,"
",,,,,
 15:33:10.662047,90.02585602,584.1054688,3.068645477,0,1589.440552,-0.848118782,-7.327961922,104.2381592,43.42504883,-59.02111053,34.79549026,-16.50960159,"
",,,,,
 15:33:11.745540,90.15187836,583.4573975,2.957363844,0,1591.218018,-0.898602009,-10.89495564,104.026268,45.33579636,-60.21025467,34.82936096,-16.09348679,"
",,,,,
 15:33:12.828323,90.57197571,584.1263428,3.050273657,0,1588.720947,-0.849181533,-7.220198154,104.4389038,43.63612366,-58.82473755,34.87451935,-16.40838242,"
",,,,,
 15:33:13.911293,90.67699432,585.0880127,2.953164578,0,1589.122925,-0.894882202,-10.88417816,110.728653,45.35801697,-60.05751801,37.86634827,-15.92478943,"
",,,,,
 15:33:14.994859,90.74000549,586.0913696,3.048173904,0,1586.541138,-0.85396421,-7.230973721,118.1782227,43.49170685,-58.62835693,40.98236084,-16.37464523,"
",,,,,
 15:33:16.77704,90.74000549,587.4919434,2.956839085,0,1587.07019,-0.903916061,-11.0134964,121.5238266,45.18027496,-60.10116577,42.46133423,-16.22844315,"
",,,,,
 15:33:17.161935,90.88703918,588.2235718,3.062871456,0,1584.319092,-0.862466633,-7.446502686,122.7171021,43.30285645,-58.78109741,42.91293335,-16.70078659,"
",,,,,
 15:33:18.246368,90.92905426,587.784668,2.963662863,0,1585.69458,-0.909230053,-10.99194241,122.3825455,45.15805817,-60.30844879,42.85648346,-16.30716515,"
",,,,,
 15:33:19.329589,90.88703918,587.3665161,3.040825367,0,1583.260986,-0.871500492,-7.327961922,117.0630112,43.35839462,-59.2393074,40.32754517,-16.73452568,"
",,,,,
 15:33:20.412541,90.95005798,586.8439331,2.938992262,0,1583.747681,-0.919858158,-11.32601166,114.3419037,45.19138336,-61.0175705,39.1872673,-16.41962814,"
",,,,,
 15:33:21.496160,91.01307678,586.0704346,3.01562953,0,1582.541382,-0.916138351,-11.46610451,116.7173004,45.31357956,-61.70487595,40.169487,-16.36339951,"
",,,,,
 15:33:22.579200,92.37837219,586.6557617,3.022978306,0,1580.023071,-0.871500492,-7.920664311,117.4421844,43.50281525,-55.32274246,40.39528656,-16.64455605,"
",,,,,
 15:33:23.662455,101.3053436,587.7009888,2.926394224,0,1580.80603,-0.917732537,-10.75486183,116.4273453,45.31357574,-43.8348999,40.02271652,-16.27342606,"
",,,,,
 15:33:24.745631,110.4003525,589.0597534,3.0313766,0,1578.414673,-0.861935258,-6.756811619,115.245224,43.62501144,-30.86334801,39.41306305,-16.48710823,"
",,,,,
 15:33:25.828956,119.47435,590.6903076,2.938467026,0,1578.859131,-0.912418544,-9.418584824,116.7953644,45.34690475,-19.25549889,40.1243248,-16.28467369,"
",,,,,
 15:33:26.911871,128.3803253,591.9654541,3.030327082,0,1575.790405,-0.874157548,-5.495970726,121.2004166,43.65834045,-6.393043995,41.96458435,-16.4758606,"
",,,,,
 15:33:27.995215,136.131012,592.1117554,2.941616535,0,1575.621216,-0.920389533,-8.470262528,130.2670441,45.39134598,0,46.08539581,-16.23968887,"
",,,,,
 15:33:29.78342,136.4040833,591.7145996,3.040825367,0,1573.314453,-0.874688923,-5.636065006,140.3819275,43.84719467,0,50.54491043,-16.38588905,"
",,,,,
 15:33:30.153554,136.2570496,591.1710815,2.943716288,0,1573.822266,-0.923577964,-8.804330826,143.6606445,45.35802078,0,52.17066193,-16.1384697,"
",,,,,
 15:33:31.244031,136.194046,591.0247803,3.061821699,0,1570.965454,-0.85396421,-6.142556191,139.5343781,43.80276108,0,50.31911469,-16.23968697,"
",,,,,
 15:33:32.328068,136.3620758,591.1292725,2.956839085,0,1571.028931,-0.906041741,-9.05218792,132.2409363,45.34690857,0,47.25954437,-16.2509346,"
",,,,,
 15:33:33.413562,136.5301208,591.7982178,3.042924643,0,1568.912598,-0.869906247,-6.077897549,122.1037369,35.61542892,0,42.73229218,-13.11321068,"
",,,,,
 15:33:34.494231,136.6771545,592.947937,2.936367512,0,1567.664063,-0.867780566,-5.668393612,103.8701401,17.81882286,0,34.62614059,-6.680314541,"
",,,,,
 15:33:35.576259,137.622345,594.5576172,2.933743,0,1568.870361,-0.931548953,-8.470261574,103.3013763,9.631496429,0,34.33260345,-3.283925533,"
",,,,,
 15:33:36.648764,137.7273712,594.7457275,3.042399883,0,1567.515869,-0.881597161,-5.560629845,107.2046051,0,0,35.87932205,0,"
",,,,,
 15:33:37.731666,137.9584351,594.1604004,2.94896555,0,1568.510498,-0.926766396,-8.384050369,113.1263428,0,0,38.46471024,0,"
",,,,,
 15:33:38.815597,138.168457,593.4078369,3.064971447,0,1566.373291,-0.876814544,-5.625288487,120.3640137,0,0,41.49040222,0,"
",,,,,
 15:33:39.911908,138.2524872,593.1569824,2.954214573,0,1567.431396,-0.928891957,-8.37327385,128.6945953,0,0,45.13704681,0,"
",,,,,
 15:33:40.992438,138.3575134,592.3417358,3.071270227,0,1565.230347,-0.873626113,-5.571406364,135.0958557,0,0,48.06113434,0,"
",,,,,
 15:33:42.77389,138.6305695,592.1326294,2.977835655,0,1565.717041,-0.91401273,-7.996098995,138.2853699,0,0,49.46108246,0,"
",,,,,
 15:33:43.148830,138.8826294,592.6552734,3.063921452,0,1563.60083,-0.871500492,-5.172678947,140.2257996,0,0,50.36426926,0,"
",,,,,
 15:33:44.236503,139.1557007,593.5332642,2.965237856,0,1564.531982,-0.909761429,-7.791347504,141.4190979,2.799465895,0,50.91747665,0,"
",,,,,
 15:33:45.317478,139.2607117,594.2022095,3.05814743,0,1562.373413,-0.868843436,-5.043361664,140.013916,10.79794121,0,50.24008179,-2.789087772,"
",,,,,
 15:33:46.412648,139.3657379,595.1010742,2.953164578,0,1562.204224,-0.90179044,-7.629701138,136.1999207,20.06283951,0,48.41111755,-6.32043314,"
",,,,,
 15:33:47.495427,139.533783,596.2507935,3.052898169,0,1560.130249,-0.894882202,-8.028429031,85.65885162,37.81501007,0,28.33766556,-12.6858511,"
",,,,,
 15:33:48.579308,139.7018127,597.06604,3.056572437,0,1557.33667,-0.861935258,-5.409759998,57.20998383,43.58057404,0,18.15416908,-15.55366325,"
",,,,,
 15:33:49.661645,140.0168762,596.7107544,2.953164578,0,1556.913452,-0.896476448,-8.254733086,29.92093468,44.68036652,0,8.422269821,-16.38589096,"
",,,,,
 15:33:50.745392,140.184906,596.5643311,3.050273895,0,1555.876465,-0.867780685,-5.668393612,5.397589684,44.02493286,0,0,-15.71111107,"
",,,,,
 15:33:51.828607,140.1428986,595.8536377,2.957364082,0,1555.855225,-0.902321816,-8.578025818,0,44.75812912,0,0,-16.59956932,"
",,,,,
 15:33:52.911425,140.3949738,596.5852661,3.048698902,0,1554.22583,-0.865655065,-5.754605293,0,44.10269928,0,0,-15.78983498,"
",,,,,
 15:33:53.995076,140.6470032,596.7106934,2.948440313,0,1554.162354,-0.889036775,-5.754605293,0,44.63593292,0,0,-16.63331032,"
",,,,,
 15:33:55.78525,140.7520447,598.1948853,3.057622433,0,1553.463867,-0.859278202,-2.909631968,0,44.20267868,0,0,-15.77858925,"
",,,,,
 15:33:56.162265,141.0461121,598.2157593,2.952639818,0,1552.87146,-0.886911213,-5.398983955,0,44.64704132,0,0,-16.62206268,"
",,,,,
 15:33:57.245383,137.265274,599.4700317,3.030327082,0,1551.855591,-0.871500492,-2.489351749,0,44.15824127,0,0,-15.68861866,"
",,,,,
 15:33:58.328359,128.7583923,598.4039307,2.959463596,0,1552.215454,-0.884785533,-2.489351749,0,44.52484131,0,0,-16.71203232,"
",,,,,
 15:33:59.411338,120.2095108,598.9892578,3.042399883,0,1551.855591,-0.874688923,-2.489351749,0,44.2471199,0,0,-16.8132515,"
",,,,,
 15:34:0.494906,111.7236481,597.4632568,2.950015307,0,1550.543579,-0.864592195,-2.532457352,0,44.28044891,0,0,-15.76734352,"
",,,,,
 15:34:1.578043,98.78479004,597.3796387,2.964187861,0,1550.035522,-0.872031868,-2.532457352,0,44.53594971,0,0,-16.72327995,"
",,,,,
 15:34:2.661348,98.78477478,599.2819214,3.031901836,0,1549.337158,-0.862466633,-2.532457352,0,44.3693161,0,0,-15.64363384,"
",,,,,
 15:34:3.744461,98.78477478,598.2158203,2.968912363,0,1548.490845,-0.859278202,-4.967926979,0,44.50262451,0,0,-16.70078659,"
",,,,,
 15:34:4.827546,98.82679749,600.0553589,3.035576344,0,1548.702393,-0.865655065,-2.435469627,0,44.5137291,0,0,-15.39621449,"
",,,,,
 15:34:5.910022,98.76377869,598.571167,2.96733737,0,1548.131104,-0.870969117,-2.435469627,0,44.59149551,0,0,-16.50960159,"
",,,,,
 15:34:6.993566,98.80580139,600.4525146,3.032426834,0,1548.088623,-0.87840873,-2.435469627,0,44.49151611,0,0,-15.58740234,"
",,,,,
 15:34:8.76804,98.6587677,598.9056396,2.979935408,0,1546.311035,-0.866717815,-2.435469627,0,44.60260391,0,0,-16.53209305,"
",,,,,
 15:34:9.159871,98.91081238,601.2051392,3.038725853,0,1546.607178,-0.880002976,0,0,44.54705811,0,0,-15.41870689,"
",,,,,
 15:34:10.242150,98.72177887,599.3237305,2.988333941,0,1544.194946,-0.862998009,0,0,44.64704132,0,0,-16.53209305,"
",,,,,
 15:34:11.325245,98.76377869,601.5395508,3.035051346,0,1544.575806,-0.882128537,0,17.43064499,44.62482452,0,5.611083508,-15.5536623,"
",,,,,
 15:34:12.408671,98.5327301,599.3237305,3.00355649,0,1542.671143,-0.847587407,0,48.56715393,44.69147873,0,24.96198273,-15.5536623,"
",,,,,
 15:34:13.492957,98.70076752,601.163269,3.024552822,0,1542.078369,-0.857152581,0,92.02667999,44.72480392,0,31.99559402,-16.43087387,"
",,,,,
 15:34:14.575802,98.76378632,600.6407471,3.040825367,0,1543.961914,-0.880002856,0,98.24951935,44.59149551,0,31.99559402,-15.56490898,"
",,,,,
 15:34:15.658559,98.76379395,598.1949463,2.998307228,0,1542.226563,-0.857152641,0,80.81887054,44.64704132,0,26.38451004,-16.41962814,"
",,,,,
 15:34:16.742193,98.84780121,600.9960938,3.019828558,0,1543.496338,-0.909230053,0,95.32767487,44.5026207,0,31.00208092,-15.6661253,"
",,,,,
 15:34:17.824925,98.74277496,598.4666748,2.99725771,0,1541.168579,-0.866717935,0,93.73293304,44.5581665,0,30.48274612,-16.48710632,"
",,,,,
 15:34:18.908071,98.78479004,601.4559326,3.003556252,0,1541.69751,-0.920389533,0,93.46528625,44.2915535,0,30.34726524,-15.92479134,"
",,,,,
 15:34:19.990683,98.5327301,599.0101318,2.976260662,0,1538.544312,-0.880002976,0,107.3607407,44.55817032,0,37.03089142,-16.5545845,"
",,,,,
 15:34:21.76154,98.44871521,601.3305664,3.006705761,0,1537.507202,-0.917732537,-30.80976868,127.7466812,44.2915535,-10.72416782,43.81612396,-16.01476097,"
",,,,,
