Time,200-A-Real,200-B-Real,200-A-Reactive,200-B-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 14:45:30.276827,Main A Real,Main B Real,Main A Reactive,Main B Reactive,AHU A Real,AHU-B RTU-B Real,RTU A Real,AHU A Reactive,AHU-B RTU-B Reactive,RTU A Reactive,,,,,,
 14:48:3.611486,50.83347321,748.4821777,-244.6992188,1563.945313,0,0,0,0,0,0,"
",,,,,
 14:48:4.697978,51.29399872,748.024231,-246.1866913,1562.762939,0,0,0,0,0,0,"
",,,,,
 14:48:5.777689,52.91681671,759.0848389,-252.7803955,1592.924072,0,0,0,0,0,0,"
",,,,,
 14:48:6.852146,55.17559052,768.4738159,-262.3490295,1623.363159,0,0,0,0,0,0,"
",,,,,
 14:48:7.937894,57.17121506,779.8550415,-271.6290283,1654.196655,0,0,0,0,0,0,"
",,,,,
 14:48:9.17692,59.42998505,789.2897339,-281.0644531,1684.728516,0,0,0,0,0,0,"
",,,,,
 14:48:10.88228,60.94315338,799.8695068,-288.8570251,1716.234009,0,0,0,0,0,0,"
",,,,,
 14:48:11.178788,61.40367889,798.6557617,-291.4767151,1715.886353,0,0,0,0,0,0,"
",,,,,
 14:48:12.252075,61.07472992,799.8008423,-291.0993042,1715.608154,0,0,0,0,0,0,"
",,,,,
 14:48:13.335043,61.11859131,798.9534912,-291.165863,1714.680908,0,0,0,0,0,0,"
",,,,,
 14:48:14.421127,60.8773613,800.1672974,-290.8772583,1714.286743,0,0,0,0,0,0,"
",,,,,
 14:48:15.493471,60.8554306,799.8237305,-290.9883118,1712.617798,0,0,0,0,0,0,"
",,,,,
 14:48:16.580894,60.74578094,801.1290283,-291.0993042,1709.418579,0,0,0,0,0,0,"
",,,,,
 14:48:17.657869,60.46069336,802.9609375,-291.0549011,1708.885376,0,0,0,0,0,0,"
",,,,,
 14:48:18.738189,59.14490509,802.1594849,-284.8608093,1707.540649,0,0,0,0,0,0,"
",,,,,
 14:48:19.823078,56.88612747,803.854126,-275.3365784,1707.285522,0,0,0,0,0,0,"
",,,,,
 14:48:20.893937,54.84664154,802.3427734,-265.8345642,1706.080078,0,0,0,0,0,0,"
",,,,,
 14:48:21.977689,52.3904953,803.5106201,-256.3325806,1707.146484,0,0,0,0,0,0,"
",,,,,
 14:48:23.62769,51.8641777,802.0908203,-249.3836365,1706.219116,0,0,0,0,0,0,"
",,,,,
 14:48:24.137451,55.17559052,803.8997803,-253.7794495,1706.080078,0,0,0,0,0,0,"
",,,,,
